Q1,Q2,Q3,Q4,Q5,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q40,Q41,Q42,Q44,Q45,Q46,Q47,Q48,Q49,Q51,Q52,Q53,Q67,Q89
7,2,4,2,  C,2,1,1,1,1, , ,1, , , , ,1, ,1,1,1,1,1,1,1,4,3
6,1,4,2,  C,2,1,1,1,2,1,1,1,1,2,6,1,1,1,1,1,1,1,1,1,1,1,1
7,1,4,2,  C, , ,1,1,2,1,1,1,1, , ,1,1,1,2,6,1,1,1,1,1,3,2
7,2,4,2,  C,1,7,1,1,2,1,1,1,1,2,7,1,1,1,2,7,2,1,1,1,1,1,3
7,1,4,2,  C,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
7,1,4,2,  C E,2,1,1,1,2,1,1,1,1,3,7,1,1,1,1,1,1,1,1,1,1,1,2
6,1,4,2,  C,2,1,1,1,1, , ,1,1,4,6,1,1,1,2,6,1,1,1,1,1,1,2
7,1,4,2,  C,2,1,1,1,2,1,1,1,1,2,7, ,1, ,3,7,2,1,1,1,1,1,2
7,1,4,2,  C,1,7,1,1,2,1,1,1,7,7,4,1,1,1,6,6,4,1,1,1,1,3,2
5,1,2,2,  C,2,1,1,1,2,1,1,1,1,5,5,1,1,1,3,5,1,1,1,1,1,1,1
7,1,4,2,  C,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, 
6,2,4,2,  C,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
7,2,4,2,  C,1,6,1,1,2,1,1,1,1,3,4,1,1,1,4,7,1,1,1,1,1,1,1
7,2,4,2,  C,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
7,1,4,2,  C E,2,1,1,1,1,1,1,1,1,2,6,2,1,2,4,6,2,1,1,1,1,1,1
6,1,4,2,  C,2,1,1,1,2,1,1,1,1,3,7,2, , ,1,1,1,1,1,1,1,1,3
5,1,3,2,  C,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
6,1,3,2,  C,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
5,2,3,2,  C,2,1,1,1,2,1,1,1,1,1,1,1,1,1,3,6,2,1,1,1,1,1,2
6,1,3,2,  C,2,1,1,1,2,1,1,1,1,3,6,1,1,1,7,5,6,1,1,1,1,1,1
6,2,3,2,  C,2,1,1,1,2,1,1,1,1,1,1,1,1,1,5,6,4,1,1,1,1,1,2
3,2,1,2,  C,1,4,1,1,2,1,1,1,1,2,5,1,1,1,2,4,2,1,1,1,1,3,3
3,1,1,2,  C,1,4,1,1,2,1,1,1,1, , ,1,1,1,2,4,1,1,1,1,1,1,2
4,2,1,2,  C,2,1,1,1,2,1,1,1,1,3,5,2,3,6,7,6,6,1,1,1,2,1, 
3,1,1,2,  C,2,1,1,1,2,1,1,1,1,3,4,2, , ,7, ,5,1,1,1,1,1, 
3,1,1,2,  C,2,1,1,1,2,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,2
5,2,3,2,  C, , , , , , , , , , ,6, ,3,5,7,2,6,4,6,3,1,1,3
4,2,1,2,  C, , , , , , , ,1,1, , , ,1, ,3,6,2,1,1,1,1,1,3
 , , , , ,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3
5,1,3,2,  C,1,6,1,1,2,1,1,1,1, , ,1,1,1, , ,1,1,1,1,1,1,3
3,2,1,1,    E,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1, , ,1,1,1,1,1,7
4,1,1,2,  C,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
3,2,1,2,  C,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
5,2,3,1,    E,1,5,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
4,1,1,2,  C,2,1,1,1,2,1,1,1,1,2,5,1,1,1,1,1,1,1,1,1,1,1,2
4,2,1,2,  C,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
5,2,2,2,  C,1,6, , ,2,1,1,1,1, , , ,1, ,4,6,1,1,1,1,1,1,2
3,1,1,2,  C,2,1,1,1,2,1,1,1,1,2,5,1,1,1,1,1,1,1,1,1,1,1,2
4,1,1,2,  C,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,2,  C,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,2,  C,1,3,1,1,2,1,1,1,1,1,1,1,1,1,3,5,2,1,1,1,1,1,2
4,1,1,2,  C,2,1,1, ,2,1, ,1,1,1, ,1,1, ,1,1,1,1,1,1,1,1,2
3,1,1,2,    E,1,5,1,1,1, , ,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,2,  C,2,1,1,1,2,1,1,1,1,2,6,1,1,1,1,1,1,1,1,1,1,1,2
4,2,1,2,A,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
4,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , 
4,1,1,2,  C, , ,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,2,  C,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, 
5,2,1,2,  C,2,1,1,1,2,1,1,1,1,1, , , , , , , , , , , , , 
4,2,1,2,  C,2,1,1,1,2,1,1, , , , , , , , , , , , , , , ,3
4,2,1,2,  C,2,1,1,1,2,1,1,1,1,4,5,5,6,5,3,6,3,1,1,1,1,1,1
4,1,1,2,  C,1,3,1,1,2,1,1,1,1, , ,1,1,1,3,3,2,1,1,1,1,1,3
4,1,1,2,  C,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, 
5,2,1,2,  C,2,1,1,1,2,1,1,1,1,2,5,1,1,1,7,5,5,1,1,1,1,1,3
3,2,1,2,  C,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,2,4,2,  C,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
7,2,4,2,  C, , , , , , , ,4,4,3,7,4, , ,7,7,6,6,6,6,6,4,3
7,2,3,2,  C,1,2, , ,1, , ,1, ,4,2,2, , ,4,2,3,4,2,3,5,1,2
7,2,4,2,  C, , , , ,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
7,1,4,2,  C,2,1,1,1,2,1,1,1,1,2,6, ,1, ,1,1,1,1,1,1,1,1,1
7,2,4,2,  C,1,3,3,3,2,1,1,1,1,7,3,3,1,3,3,4,1,1,1,1,1,1,2
6,2,4,2,  C,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, 
7,1,4,2,  C,2,1,1,1,2,1,1,1,1,2,6,2,3,5,1,1,1,1,1,1,1,1,3
7,2,4,2,  C,2,1,1,1,2,1,1,1,1,4,6,2,1,2,4,7,3,1,1,1,1,1,2
7,2,4,2,  C,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,4,2,  C,2,1,1,1,2,1,1,1,1,3,6, ,1, ,2,7,1,1,1,1,1,1,2
6,1,4,2,  C,2,1,1,1,2,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,2
6,2,4,1, ,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
6,1,4,2,  C,1,6,1,1,1,1,1,1,1,1,1,1,1,1,2,6,1,1,1,1,1,1,1
7,1,4,2,  C,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
7,2,4,2,  C,2,1,1,1,2,1,1,1,1,2,7,1,1,1,3,6,1,1,1,1,1,1,1
7,2,4,2,  C,1,3,1,1,2,1,1,1,1,2,3, ,1, ,6,5,4,1,1,1,1,1, 
7,2,4,2,  C,2,1,1,1,2,1,1,1,1, , ,1,1,1,1,1,1,1,1,1,1,1,2
6,2,4,2,  C,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,7,1,1,1,1,1,1,2
4,1,1,1,    E,1,5,1,1,1,2,5,1,1,4,5, ,1, ,1,1,1,1,1,1,1,1,2
3,1,1,2,    E,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,2,    E,1,3,1,1,1, , ,1,1,3,3,1,1,1,5,4,2,1,1,1,1,1,1
4,1,1,2,    E,2,1,1,1,1,1,1,1,1,5,4,3,3,6,3,5,1,1,1,1,1,1,2
3,1,1,2,  C,2,1,1,1,2,1,1,1,1,3,4,2,1,2,2,5,1,1,1,1,1,1,2
3,2,1,2,  C,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,2,  C,1,2,1,1,2,1,1,1,1,2,2, ,1, ,2,5,1,1,1,1,1,1,2
4,1,1,1,   D,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
3,1,1,2,    E,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,2,4,2,    E,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
4,1,1,2,  C,2,1,1,1,2,1,1,1,1,6,2,1,1,1,1,1,1,1,1,1,1,1,1
1,1,2,1,  C,1,4, , , , , ,1,1,2, ,1,1,1, , , ,3,6,6,6,3,1
4,2,1,2,    E,2,1,1,1,1,2,5,1,2,3,5, ,1, ,1,1,1,1,1,1,1,1,2
4,1,1,2,    E,1,5,1,1,2,1,1,1,1,3,5,1,1,1,1,1,1,1,1,1,1,3,1
3,1,1,1,A   E,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,2,1,  CD,2,1,1,1,1, , ,1,1,3,6, ,1, ,6,3,3,1,1,1,1,1,2
5,1, ,2,  C E,2,1,1,1,2,1,1,1,1,3,6,2, , ,7,5,6,1,1,1,1,3,3
6,1,3,1, ,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,2,5,2,    E,1,5,2,2,1,7,8,7,1,5,6,3, , ,6,5,2,1,1,2,1,1,3
5,2,3,2, ,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
5,2,3,2,  C,2,1,1,1,2,1,1,1,1,4,4, , , ,1,1,1,1,1,1,1,1,1
5,1,3,2,  C,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
6,1,3,2,  C, , , , ,1,5,2,5,3, , , , , , ,5, ,3,3,4,3,1,1
6,1,3,2,    E,2,1,1,1,1, , ,1,1,3,6,1,1,1,2,6,1,1,1,1,1,1,2
6,1,3,2,  C, , , , ,1,1,1,1,2,4,3,3,1,3,4,2,1,1,4,3,3,2,1
6,1,3,2,  C,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,2
7,1,4,2,  C,2,1,1,1,2,1,1,1,1,2,7,1,1,1,4,6,1,1,1,1,1,2,2
5,2,3,2,    E,1,6,1,1,1,5,5,2,1,3,5,1,1,1,7,6,5,1,1,1,1,1,1
6,2,3,2,    E,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
6,2,4,2,    E,1,4,5,4,1,7,2,1,2,7,4,5,6,8,6,4,2,1,1,1,1,1,1
6,2,4,2,    E,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2
7,2,4,2,    E,1,7,1,1,1,1,1,1,1,3,7,2,1,2,2,7,1,1,1,1,1,1,2
7,2,4,2,    E,2,1,1,1,1,1,1,1,1,4,6,1,1,1,6,5,1,1,1,1,1,1,7
6,2,4,2,  C,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
