Q1,Q2,Q3,Q4,Q5,Q32,Q34,Q35,Q36,Q44,Q48,Q49,Q51,Q52,Q53,Q67,Q89
7,2,4,2,E,1,1,1,1,1,1,1,1,1,1,1,2
7,2,4,2,E,1,1,1,1,1,1,1,1,1,1,1,7
6,2,4,2,C,1,2,1,1,1,1,1,1,1,1,1,2
6,1,4,2,E,1,1,1,1,1,1,1,1,1,1,1,2
6,2,4,2,E,2,1,3,5,1,2,1,1,1,1,1,1
6,2,4,1,E,1,2,1,1,1,1,1,1,1,1,1,1
6,1,4,1,,1,1,1,1,#NULL!,2,1,1,1,1,1,1
7,1,4,2,E,7,1,7,2,1,1,1,1,1,1,1,2
6,1,4,2,C,1,2,1,1,1,1,1,1,1,1,#NULL!,2
6,2,4,2,C,1,2,1,1,1,1,1,1,1,1,1,1
7,1,4,2,C,1,1,1,1,1,1,1,1,1,1,1,2
7,2,4,2,B,2,1,3,5,#NULL!,3,4,5,5,4,1,#NULL!
6,2,4,1,C,5,1,7,4,1,6,6,1,1,1,1,1
7,1,4,1,E,4,1,1,1,4,4,1,1,1,1,1,1
4,1,2,2,E,1,1,#NULL!,#NULL!,3,4,1,1,1,1,1,1
5,2,2,2,E,1,2,1,1,1,1,1,1,1,1,1,1
4,1,2,2,C,1,2,1,1,1,2,1,1,1,1,1,2
5,1,2,2,C,1,2,1,1,1,1,1,1,1,1,1,2
4,1,2,2,C,1,1,#NULL!,#NULL!,#NULL!,5,1,1,1,1,1,2
5,2,2,2,E,3,#NULL!,#NULL!,#NULL!,#NULL!,6,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
5,2,2,2,E,5,1,7,4,2,3,2,1,1,2,1,2
5,1,2,2,E,7,1,7,4,5,5,3,1,1,1,1,2
4,1,2,2,E,1,1,3,5,3,3,1,1,1,2,3,2
4,2,2,1,,1,2,1,1,#NULL!,1,1,1,1,1,1,2
4,2,2,1,,1,2,1,1,1,1,1,1,1,1,#NULL!,2
4,2,2,2,C,1,2,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,1,2
4,2,2,2,C,1,1,7,2,#NULL!,6,1,1,1,1,1,2
7,1,4,2,C,1,1,1,1,4,5,1,1,1,1,1,2
6,2,2,2,E,1,2,1,1,1,1,1,1,1,1,1,1
6,2,2,2,C,1,2,1,1,1,1,1,1,1,1,1,3
1,2,3,2,A,4,1,4,5,#NULL!,3,1,1,1,1,1,1
4,2,2,2,E,1,1,#NULL!,#NULL!,1,1,1,1,1,1,1,1
5,2,2,1,,1,2,1,1,1,1,1,1,1,1,1,2
5,1,2,2,E,1,2,1,1,1,1,1,1,1,1,1,1
5,2,2,2,E,1,1,1,1,1,1,1,1,1,1,1,1
5,1,2,2,E,1,1,1,1,1,1,1,1,1,1,1,1
5,1,2,2,E,1,1,1,1,1,1,1,1,1,1,3,3
